Country,Link
Sardinia , https://image.flaticon.com/icons/png/512/197/197436.png 
Madagascar , https://image.flaticon.com/icons/png/512/197/197383.png 
Balearic islands , https://image.flaticon.com/icons/png/512/197/197536.png 
Mauritius , https://image.flaticon.com/icons/png/512/197/197616.png 
Rwanda , https://image.flaticon.com/icons/png/512/197/197393.png 
Bahamas , https://image.flaticon.com/icons/png/512/197/197442.png 
Bhutan , https://image.flaticon.com/icons/png/512/197/197543.png 
Basque country , https://image.flaticon.com/icons/png/512/197/197517.png 
Benin , https://image.flaticon.com/icons/png/512/197/197539.png 
Jersey , https://image.flaticon.com/icons/png/512/197/197382.png 
Mauritania , https://image.flaticon.com/icons/png/512/197/197460.png 
Montserrat , https://image.flaticon.com/icons/png/512/197/197462.png 
Guinea , https://image.flaticon.com/icons/png/512/197/197483.png 
British columbia , https://image.flaticon.com/icons/png/512/197/197514.png 
Burkina faso , https://image.flaticon.com/icons/png/512/197/197519.png 
Barbados , https://image.flaticon.com/icons/png/512/197/197526.png 
Namibia , https://image.flaticon.com/icons/png/512/197/197617.png 
Guinea bissau , https://image.flaticon.com/icons/png/512/197/197427.png 
British virgin islands , https://image.flaticon.com/icons/png/512/197/197525.png 
Hawaii , https://image.flaticon.com/icons/png/512/197/197613.png 
French polynesia , https://image.flaticon.com/icons/png/512/197/197402.png 
Togo , https://image.flaticon.com/icons/png/512/197/197443.png 
Dominica , https://image.flaticon.com/icons/png/512/197/197490.png 
Niue , https://image.flaticon.com/icons/png/512/197/197494.png 
Belize , https://image.flaticon.com/icons/png/512/197/197522.png 
Curacao , https://image.flaticon.com/icons/png/512/197/197424.png 
Niger , https://image.flaticon.com/icons/png/512/197/197433.png 
Sahrawi arab democratic republic , https://image.flaticon.com/icons/png/512/197/197414.png 
Guam , https://image.flaticon.com/icons/png/512/197/197455.png 
Vatican city , https://image.flaticon.com/icons/png/512/197/197446.png 
San marino , https://image.flaticon.com/icons/png/512/197/197422.png 
Gabon , https://image.flaticon.com/icons/png/512/197/197450.png 
Seychelles, https://image.flaticon.com/icons/png/512/197/197487.png 
Cape verde , https://image.flaticon.com/icons/png/512/197/197541.png 
Suriname , https://image.flaticon.com/icons/png/512/197/197439.png 
Aruba , https://image.flaticon.com/icons/png/512/197/197538.png 
Sierra leone , https://image.flaticon.com/icons/png/512/197/197488.png 
Antigua and barbuda , https://image.flaticon.com/icons/png/512/197/197533.png 
South sudan , https://image.flaticon.com/icons/png/512/197/197476.png 
Palau , https://image.flaticon.com/icons/png/512/197/197495.png 
Rapa Nui , https://image.flaticon.com/icons/png/512/197/197497.png 
Bermuda , https://image.flaticon.com/icons/png/512/197/197523.png 
Bonaire , https://image.flaticon.com/icons/png/512/197/197528.png 
Samoa , https://image.flaticon.com/icons/png/512/197/197388.png 
Lesotho , https://image.flaticon.com/icons/png/512/197/197392.png 
Equatorial guinea , https://image.flaticon.com/icons/png/512/197/197395.png 
Djibouti , https://image.flaticon.com/icons/png/512/197/197425.png 
Micronesia , https://image.flaticon.com/icons/png/512/197/197432.png 
Canary islands , https://image.flaticon.com/icons/png/512/197/197548.png 
Swaziland , https://image.flaticon.com/icons/png/512/197/197399.png 
Cayman islands , https://image.flaticon.com/icons/png/512/197/197545.png 
Faroe islands , https://image.flaticon.com/icons/png/512/197/197491.png 
Central african republic , https://image.flaticon.com/icons/png/512/197/197546.png 
Greenland , https://image.flaticon.com/icons/png/512/197/197453.png 
Northern marianas islands , https://image.flaticon.com/icons/png/512/197/197465.png 
Aland islands , https://image.flaticon.com/icons/png/512/197/197532.png 
Comoros , https://image.flaticon.com/icons/png/512/197/197547.png 
Vanuatu , https://image.flaticon.com/icons/png/512/197/197489.png 
Grenada , https://image.flaticon.com/icons/png/512/197/197454.png 
Saint kitts and nevis , https://image.flaticon.com/icons/png/512/197/197470.png 
Kiribati , https://image.flaticon.com/icons/png/512/197/197458.png 
Guernsey , https://image.flaticon.com/icons/png/512/197/197456.png 
Tonga , https://image.flaticon.com/icons/png/512/197/197499.png 
American samoa , https://image.flaticon.com/icons/png/512/197/197552.png 
Solomon islands , https://image.flaticon.com/icons/png/512/197/197474.png 
Martinique , https://image.flaticon.com/icons/png/512/197/197500.png 
Sao tome and prince , https://image.flaticon.com/icons/png/512/197/197435.png 
Bhutan , https://image.flaticon.com/icons/png/512/197/197437.png 
Turks and caicos , https://image.flaticon.com/icons/png/512/197/197481.png 
British indian ocean territory , https://image.flaticon.com/icons/png/512/197/197544.png 
Marshall island , https://image.flaticon.com/icons/png/512/197/197431.png 
Ceuta , https://image.flaticon.com/icons/png/512/197/197553.png 
Tibet , https://image.flaticon.com/icons/png/512/197/197409.png 
Anguilla , https://image.flaticon.com/icons/png/512/197/197550.png 
Cook islands , https://image.flaticon.com/icons/png/512/197/197556.png 
Falkland islands , https://image.flaticon.com/icons/png/512/197/197449.png 
Tuvalu , https://image.flaticon.com/icons/png/512/197/197445.png 
St lucia , https://image.flaticon.com/icons/png/512/197/197498.png 
Norfolk island , https://image.flaticon.com/icons/png/512/197/197434.png 
St vincent and the grenadines , https://image.flaticon.com/icons/png/512/197/197477.png 
Abkhazia , https://image.flaticon.com/icons/png/512/197/197537.png 
Madeira , https://image.flaticon.com/icons/png/512/197/197403.png 
ten , https://image.flaticon.com/icons/png/512/197/197472.png 
Virgin islands , https://image.flaticon.com/icons/png/512/197/197448.png 
Christmas island , https://image.flaticon.com/icons/png/512/197/197554.png 
Orkney islands , https://image.flaticon.com/icons/png/512/197/197482.png 
Galapagos islands , https://image.flaticon.com/icons/png/512/197/197501.png 
Saba island , https://image.flaticon.com/icons/png/512/197/197469.png 
Azores islands , https://image.flaticon.com/icons/png/512/197/197440.png 
Tokelau , https://image.flaticon.com/icons/png/512/197/197479.png 
Somaliland , https://image.flaticon.com/icons/png/512/197/197475.png 
St barts , https://image.flaticon.com/icons/png/512/197/197423.png 
Transnistria , https://image.flaticon.com/icons/png/512/197/197480.png 
Sint eustatius , https://image.flaticon.com/icons/png/512/197/197471.png 
